id,text,class,cluster,answer,feedback
1,"Ошибка деплоя Docker ImagePullBackOff",DevOps,DEPLOYMENT_FAILURE,"Проверьте docker login и доступ к registry",ok
2,"В отчете НДС отрицательные остатки по партиям",Finance,VAT_REPORT_ERROR,"Пересчитайте последовательность расчета партий",ok
3,"Не начисляется зарплата в 1С ЗУП",HR,PAYROLL_FAILURE,"Проверьте настройки начисления и регистры по 70 счету",fail
4,"Ошибка в SAP FB60: Balance not zero",SAP,INVOICE_POSTING,"Проверьте счет учета и налоговую схему",ok
5,"Сервис 'Отчетность' недоступен, ошибка 503",DevOps,SERVICE_UNAVAILABLE,"Проверьте статус сервиса в мониторинге и перезапустите контейнер",ok
6,"Не печатаются документы на сетевом принтере HP",IT,PRINTER_ISSUE,"Обновите драйверы, проверьте очередь печати и сетевое подключение",fail
7,"Не формируется отчет 'Оборотно-сальдовая ведомость'",Finance,REPORT_GENERATION_ERROR,"Проверьте настройки периода, учетной политики и перепроведите закрытие месяца",ok
8,"Завис процесс 'RIPROD' в SAP, не отвечает",SAP,SYSTEM_HANG,"Выполните разблокировку пользователя через транзакцию SM12, перезапустите процесс",ok
9,"Не отправляется почта через Outlook",IT,EMAIL_ISSUE,"Проверьте настройки SMTP, наличие квоты и подключение к интернету",ok
10,"Доступ к shared папке 'Проекты' отсутствует",IT,ACCESS_ISSUE,"Запросите права доступа у руководителя проекта через ИТ-заявку",ok
11,"Ошибка при проведении документа в 1С: 'Объект заблокирован'",Finance,POSTING_ERROR,"Разблокируйте объект через монитор блокировок (Меню -> Администрирование)",ok
12,"Не запускается скрипт обработки данных в Python",DevOps,SCRIPT_ERROR,"Проверьте версию Python, наличие зависимостей и права на выполнение файла",fail
13,"Ошибка аутентификации в корпоративном портале",IT,AUTH_FAILURE,"Выполните сброс пароля через сервис самообслуживания или обратитесь в службу поддержки",ok
14,"Не отображаются кассовые смены в отчете",Finance,CASH_REGISTER_REPORT,"Снимите и закройте Z-отчет на кассе для обновления данных в базе",ok
15,"Не загружаются справочники в SAP через LSMW",SAP,DATA_LOAD_ERROR,"Проверьте формат файла-источника, права доступа и настройки поля соответствия",ok
